frame_index,photo,time_role,photo_time_s,Boundary0_X2_N,Boundary1_Y2_N,Boundary2_Y1_N,Boundary3_X1_N
270,000270.jpg,synchronized,27.008788732394,1607.000000,1591.960000,1600.700000,1593.360000
271,000271.jpg,synchronized,27.108802816901,1608.000000,1591.960000,1601.700000,1594.360000
272,000272.jpg,synchronized,27.208816901408,1609.000000,1593.960000,1601.700000,1595.360000
273,000273.jpg,synchronized,27.308830985915,1609.000000,1593.960000,1602.700000,1595.360000
274,000274.jpg,synchronized,27.408845070423,1610.000000,1594.960000,1603.700000,1595.360000
275,000275.jpg,synchronized,27.508859154930,1610.000000,1595.960000,1603.700000,1595.360000
276,000276.jpg,synchronized,27.608873239437,1611.000000,1596.960000,1604.700000,1596.360000
277,000277.jpg,synchronized,27.708887323944,1612.000000,1596.960000,1604.700000,1597.360000
278,000278.jpg,synchronized,27.808901408451,1613.000000,1596.960000,1604.700000,1598.360000
279,000279.jpg,synchronized,27.908915492958,1612.084507,1597.960000,1606.615493,1600.275493
280,000280.jpg,synchronized,28.008929577465,1613.000000,1598.960000,1606.700000,1601.360000
281,000281.jpg,synchronized,28.108943661972,1614.000000,1597.960000,1606.700000,1601.360000
282,000282.jpg,synchronized,28.208957746479,1614.000000,1598.960000,1606.700000,1601.360000
283,000283.jpg,synchronized,28.308971830986,1614.000000,1599.960000,1607.700000,1600.360000
284,000284.jpg,synchronized,28.408985915493,1615.000000,1598.960000,1607.700000,1601.360000
